Artikel	Bolag	"Adr klass"	RID-S-klassificering	Klassificeringskod	Packningsgrupp	Packningsinstruktioner	"Särskilda Packningsföreskrifter"	"Särskilda Packningsinslag"	"Särskilda Föreskrifter"	Tunnelbegränsningar	"Un nummer"	Transportnamn	Varningsetikett	Miljörisk	"Föreskrift för begränsad mängd"	"Föreskrift för minskad mängd"	Flampunkt	Lastningskoder	Användarinstruktioner	Farokod	Säkerhetsbroschyr	"Länk till säkerhetsbroschyr"	IMDG-KOD	ICAO-TI	"Minsta temperatur"	Hållbarhetstid	Temperaturkänslighet	"Vikt netto"	"Volym (L)"	"Farligt gods nivå"
1001265	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001266	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001267	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001268	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001285	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001568	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1001900	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002015	GG	0													0	0	0	0		0	False		0		0	0	0	0		
1002016	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002017	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002081	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002084	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002086	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002087	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002100	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002112	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002284	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002661	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002662	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002682	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002683	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002694	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002695	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002696	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002697	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002698	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002699	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1002716	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003303	GG	21		6F	II	P002				D	1057	"LIGHTER REFILLS"			0	0	0	0		0	False		0		0	0	0	16	0	DG
1003306	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003307	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003308	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003310	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003311	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003312	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003313	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003314	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003315	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003316	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003317	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003318	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
1003319	GG	0													0	0	0	0		0	False		0		0	0	0	0	0	
