artikelnummer,max,pallid
12420-019-4-R,6.0,3712855
12420-019-5-R,8.0,999124539
12420-019-7.5-R,2.0,2642839
12420-019-9-R,6.0,999124605
12420-019-9.5-R,66.0,1712290
12422-019-10-R,5.0,3712828
12422-019-10.5-R,6.0,3243470
12422-019-11-R,6.0,3314850
12422-019-12-R,6.0,2326677
12422-019-5-R,2.0,4096762
12422-019-6.5-R,6.0,4286032
12422-019-7-R,6.0,3072787
12422-019-8-R,6.0,2438169
12422-019-8.5-R,6.0,4286019
12422-019-9-R,6.0,4285691
12422-019-9.5-R,6.0,3243558
12422-106-10-R,6.0,4286298
12422-106-10.5-R,6.0,4285926
12422-106-11-R,6.0,4285931
12422-106-11.5-R,6.0,4286292
12422-106-12-R,6.0,4285688
12422-106-13-R,6.0,4285659
12422-106-14-R,6.0,2691224
12422-106-6-R,6.0,2788391
12422-106-7-R,6.0,2691198
12422-106-7.5-R,6.0,4286020
12422-106-8-R,6.0,4285536
12422-106-8.5-R,6.0,4285570
12422-106-9-R,6.0,4285905
12422-106-9.5-R,6.0,4285646
12429-019-13-R,6.0,2713734
12429-067-13-R,6.0,3628866
12429-067-6-R,4.0,1936523
12429-067-7-R,6.0,3496517
12429-092-6-R,2.0,999124672
12429-545-4-R,3.0,1936608
12430-019-10-R,6.0,3480093
12430-019-10.5-R,6.0,2841154
12430-019-11-R,6.0,3243162
12430-019-11.5-R,6.0,3033624
12430-019-13-R,6.0,3243148
12430-019-14-R,6.0,2642050
12430-019-7-R,6.0,3480647
12430-019-7.5-R,6.0,2832284
12430-019-8-R,6.0,3243468
12430-019-8.5-R,6.0,2840747
12430-019-9-R,6.0,3242986
12430-019-9.5-R,6.0,3480615
12430-106-10-R,6.0,2642175
12430-106-10.5-R,6.0,2841144
12430-106-11.5-R,6.0,3243106
12430-106-12-R,4.0,4189855
12430-106-7-R,4.0,999124611
12430-106-7.5-R,6.0,2841125
12430-106-8-R,6.0,2841143
12430-106-8.5-R,6.0,3242993
12430-120-4-R,3.0,1936615
12430-186-10-R,6.0,2830188
12430-186-10.5-R,6.0,2830685
12430-186-11-R,6.0,2830042
12430-186-11.5-R,6.0,2830313
12430-186-13-R,6.0,2711798
12430-186-7.5-R,6.0,2830676
12430-186-8-R,6.0,2713892
12430-186-8.5-R,6.0,2713851
12430-186-9-R,6.0,2830191
12430-186-9.5-R,6.0,2713874
12430-344-10-R,6.0,999124628
12430-344-10.5-R,54.0,3054308
12430-344-11-R,36.0,936240
12430-344-11.5-R,4.0,1856664
12430-344-12-R,5.0,999124822
12430-344-13-R,5.0,999123846
12430-344-14-R,4.0,999124631
12430-344-7-R,5.0,999123870
12430-344-7.5-R,5.0,1853723
12430-344-8.5-R,66.0,3517715
12430-344-9-R,6.0,2021559
12430-344-9.5-R,6.0,3893748
12430-367-7-R,1.0,999123868
12430-367-7.5-R,1.0,1837397
12430-367-8-R,7.0,4097218
12430-367-8.5-R,4.0,4189941
12430-367-9-R,7.0,999124662
12430-495-10-R,6.0,3917633
12430-495-10.5-R,48.0,580993
12430-495-11-R,6.0,3917964
12430-495-11.5-R,6.0,3500102
12430-495-12-R,40.0,3894359
12430-495-13-R,6.0,3987228
12430-495-4-R,3.0,1937141
12430-495-6-R,9.0,999123939
12430-495-7.5-R,42.0,3294547
12430-495-8-R,36.0,3517864
12430-495-8.5-R,42.0,3500398
12430-495-9-R,66.0,3537369
12430-495-9.5-R,48.0,575419
12430-496-10-R,30.0,3492338
12430-496-11-R,30.0,3529424
12430-496-11.5-R,24.0,2992416
12430-496-6-R,6.0,999124654
12430-496-6.5-R,4.0,1936481
12430-496-7-R,6.0,3569019
12430-496-7.5-R,36.0,3501018
12430-496-8-R,6.0,3918251
12430-496-8.5-R,60.0,3989333
12430-496-9.5-R,60.0,2720265
12430-721-10-R,6.0,999124664
12430-721-11-R,36.0,2689397
12430-721-12-R,6.0,4179807
12430-721-6-R,9.0,999123906
12430-721-6.5-R,6.0,1857047
12430-721-7-R,41.0,3894592
12430-721-7.5-R,49.0,3712299
12430-721-8-R,5.0,999123923
12430-721-8.5-R,42.0,2693348
12430-721-9-R,6.0,3918395
12430-721-9.5-R,42.0,3520947
12431-019-6-R,4.0,3918479
124319,4.0,1862483
12431ABR-019-10-R,6.0,2712894
12431ABR-019-11-R,6.0,2712250
12431ABR-019-12-R,6.0,4286017
12431ABR-019-7.5-R,6.0,2712384
12438-120-11.5-R,54.0,1811993
12438-120-14-R,1.0,3680213
12438-120-6-R,5.0,999124709
12438-120-7-R,4.0,999124732
124382,5.0,1868263
12438ABR-120-10-R,6.0,2691066
12438ABR-120-11-R,6.0,2713353
12438ABR-120-11.5-R,6.0,2623422
12438ABR-120-12-R,6.0,2691189
12438ABR-120-4-R,5.0,4097689
12438ABR-120-7-R,6.0,2642323
12438ABR-120-7.5-R,6.0,2691177
12438ABR-120-8-R,6.0,2691183
12438ABR-120-9.5-R,6.0,2711779
12439-019-14-R,5.0,999123968
12439ABR-019-10-R,6.0,4285804
12439ABR-019-10.5-R,6.0,2928649
12439ABR-019-11.5-R,6.0,4285801
12439ABR-019-13-R,6.0,4285810
12439ABR-019-14-R,6.0,2789044
12439ABR-019-6.5-R,6.0,4285898
12439ABR-019-7-R,6.0,4285895
12439ABR-019-7.5-R,6.0,2712968
12439ABR-019-8-R,6.0,4285979
12439ABR-019-8.5-R,6.0,4285583
12439ABR-019-9-R,6.0,2789084
12439ABR-019-9.5-R,6.0,4286119
12440-106-10-R,6.0,4285914
12440-106-10.5-R,6.0,4286112
12440-106-11-R,6.0,4286176
12440-106-11.5-R,6.0,2628172
12440-106-12-R,6.0,2788435
12440-106-13-R,6.0,4286121
12440-106-14-R,6.0,4285821
12440-106-4-R,5.0,4097735
12440-106-6-R,6.0,2789536
12440-106-6.5-R,6.0,4285533
12440-106-7-R,6.0,2655922
12440-106-7.5-R,6.0,2628328
12440-106-8-R,6.0,2789663
12440-106-8.5-R,6.0,2789640
12440-106-9-R,6.0,4286135
12440-106-9.5-R,6.0,2789114
12441-255-7-R,2.0,3714614
12443-019-7.5-R,4.0,1865911
12443-019-8-R,6.0,999123979
12443ABR-389-11-R,6.0,3072823
12443ABR-389-7-R,6.0,3072849
12444-019-4-R,1.0,999124711
12444-019-7-R,5.0,3816734
12444-019-8-R,4.0,4096991
12444-019-9-R,5.0,4189918
12444ABR-019-10-R,6.0,2788573
12444ABR-019-10.5-R,6.0,2788671
12444ABR-019-11-R,6.0,2788972
12444ABR-019-11.5-R,5.0,3975443
12444ABR-019-14-R,1.0,4286425
12444ABR-019-4-R,5.0,3713569
12444ABR-019-5-R,4.0,3679630
12444ABR-019-7-R,6.0,2788626
12444ABR-019-7.5-R,6.0,2788950
12444ABR-019-8-R,6.0,2789006
12444ABR-019-8.5-R,6.0,2788992
12444ABR-019-9-R,6.0,2788620
12444ABR-019-9.5-R,6.0,2788594
12445-106-7-R,2.0,999123880
12445ABR-106-14-R,5.0,3973835
12445ABR-106-7-R,6.0,2873373
12446-106-10-R,6.0,2878560
12446-106-11-R,6.0,4114803
12446-106-12-R,6.0,2711248
12446-106-13-R,5.0,999123900
12446-106-14-R,6.0,2901328
12446-496-4-R,1.0,4097053
12446-496-7.5-R,1.0,4097064
12446ABR-019-10-R,6.0,3243237
12446ABR-019-10.5-R,6.0,3243376
12446ABR-019-11-R,6.0,2766754
12446ABR-019-11.5-R,6.0,3243441
12446ABR-019-12-R,6.0,2766948
12446ABR-019-6.5-R,6.0,2655390
12446ABR-019-7-R,6.0,3243411
12446ABR-019-7.5-R,5.0,3464759
12446ABR-019-8-R,6.0,3243380
12446ABR-019-8.5-R,6.0,3243327
12446ABR-019-9-R,6.0,3264759
12446ABR-019-9.5-R,6.0,3243390
12446ABR-106-10-R,6.0,2766756
12446ABR-106-10.5-R,6.0,2766708
12446ABR-106-11-R,6.0,2766789
12446ABR-106-11.5-R,6.0,2766709
12446ABR-106-12-R,6.0,2713525
12446ABR-106-13-R,6.0,2713549
12446ABR-106-14-R,6.0,2655220
12446ABR-106-4-R,4.0,3713654
12446ABR-106-5-R,5.0,3713714
12446ABR-106-7-R,6.0,2766717
12446ABR-106-7.5-R,6.0,2766715
12446ABR-106-8-R,6.0,2713434
12446ABR-106-8.5-R,6.0,2713430
12446ABR-106-9-R,6.0,2766683
12446ABR-106-9.5-R,6.0,2713437
12451-389-10-R,4.0,3975226
12451-389-11-R,2.0,999123946
12451-389-11.5-R,6.0,1561858
12451-389-13-R,4.0,999118938
12451-389-14-R,3.0,1936810
12451-389-15-R,3.0,1936803
12451-389-4-R,5.0,999118943
12451-389-5-R,2.0,999123960
12451-389-8-R,6.0,2040595
12451-389-9.5-R,6.0,2040603
12454-019-10.5-R,6.0,733880
12454-019-11.5-R,54.0,798321
12454-019-14-R,4.0,999123972
12454-019-15-R,3.0,999118946
12454-019-9-R,9.0,3714095
12454ABR-019-10-R,6.0,3243285
12454ABR-019-10.5-R,6.0,3033599
12454ABR-019-11-R,6.0,3243227
12454ABR-019-11.5-R,6.0,2632164
12454ABR-019-12-R,6.0,3243132
12454ABR-019-13-R,6.0,3243299
12454ABR-019-14-R,5.0,4230620
12454ABR-019-15-R,6.0,2282631
12454ABR-019-7.5-R,6.0,2632144
12454ABR-019-8-R,6.0,3243319
12454ABR-019-8.5-R,6.0,3243326
12454ABR-019-9-R,6.0,3243274
12454ABR-019-9.5-R,6.0,2632192
12457-019-4-R,2.0,999123984
12457-256-5-R,1.0,999123988
12457-337-10-R,6.0,3987700
12457-337-11-R,36.0,3545560
12457-337-12-R,6.0,3987525
12457-337-7-R,7.0,999124025
12457-337-8.5-R,6.0,3987342
12457-337-9-R,5.0,999124003
12457-337-9.5-R,28.0,3475609
12459-389-10-R,5.0,999124007
12459-389-10.5-R,24.0,1872712
12459-389-11-R,6.0,1797826
12459-389-11.5-R,6.0,1561246
12459-389-12-R,5.0,999124690
12459-389-13-R,12.0,2506694
12459-389-14-R,6.0,1797918
12459-389-15-R,2.0,999124694
12459-389-4-R,3.0,999118969
12459-389-5-R,6.0,1797824
12459-389-8-R,23.0,4230755
12459-389-8.5-R,36.0,2591545
12459-389-9-R,6.0,2020603
12459-389-9.5-R,30.0,1872993
12464-120-11-R,6.0,3245237
12464-120-11.5-R,6.0,2010929
12464-120-4-R,5.0,999118975
12464-120-6-R,5.0,999118979
12464-120-9.5-R,4.0,1856558
12464ABR-120-10-R,6.0,2460607
12464ABR-120-10.5-R,6.0,2441075
12464ABR-120-11-R,6.0,2466980
12464ABR-120-11.5-R,6.0,2441092
12464ABR-120-12-R,6.0,2460621
